30,30,5,9,1,3,c,n
27,33,8,6,1,2,c,n
29,31,10,10,1,2,d,n
28,32,9,11,5,1,n,d
29,31,2,7,1,3,d,n
28,32,6,5,1,2,c,n
30,30,3,9,1,4,c,n
26,34,8,10,1,2,d,n
25,35,10,13,1,2,d,n
24,36,8,9,1,2,c,n
22,38,9,12,1,2,d,n
21,39,13,11,5,1,n,d
22,38,12,8,1,1,n,n
23,37,3,12,1,4,d,n
22,38,2,12,1,5,d,n
21,39,8,6,1,1,n,n
22,38,4,6,1,4,d,n
21,39,2,6,1,3,c,n
18,42,14,10,1,1,n,n
19,41,2,5,1,5,d,n
18,42,12,10,1,1,n,n
19,41,10,14,1,1,n,n
18,42,7,8,1,2,c,n
16,44,8,7,1,1,n,n
17,43,5,9,1,3,d,n
16,44,7,6,1,2,c,n
18,42,13,12,1,1,n,n
19,41,10,9,1,2,d,n
18,42,5,6,1,2,c,n
16,44,7,13,1,2,d,n
15,45,6,10,1,3,d,n
14,46,7,4,5,2,n,d
16,44,4,9,1,4,c,n
12,48,14,4,5,1,n,d
13,47,6,12,1,2,d,n
12,48,6,8,1,2,d,n
11,49,3,12,1,3,d,n
10,50,12,8,1,1,n,n
11,49,8,14,1,2,d,n
10,50,3,7,1,3,d,n
9,51,2,7,1,5,c,n
4,56,6,5,1,3,d,n
3,57,14,7,1,1,n,n
4,56,9,11,4,2,n,d
6,54,14,9,1,1,n,n
7,53,2,10,1,5,d,n
6,54,8,2,5,2,n,d
8,52,13,10,1,1,n,n
9,51,3,9,1,3,d,n
8,52,13,14,1,1,n,n
7,53,4,6,1,2,c,n
5,55,10,12,1,2,d,n
4,56,10,13,1,1,n,n
3,57,9,6,1,2,c,n
5,55,13,12,1,1,n,n
6,54,13,9,1,1,n,n
7,53,2,9,1,5,c,n
2,58,12,7,1,1,n,n
3,57,11,14,1,1,n,n
2,58,8,4,2,2,n,n
4,56,4,11,4,4,n,n
