30,30,10,5,1,1,n,n
31,29,4,12,1,2,d,n
30,30,8,10,1,1,n,n
29,31,12,10,1,1,n,n
30,30,10,9,1,1,n,n
31,29,4,3,1,2,c,n
33,27,10,11,1,1,n,n
32,28,10,3,1,1,n,n
33,27,10,4,1,1,n,n
34,26,9,4,1,1,n,n
35,25,3,12,1,3,d,n
34,26,3,10,1,3,d,n
33,27,7,10,1,2,d,n
32,28,11,11,1,1,n,n
32,28,13,6,1,1,n,n
33,27,5,14,1,2,d,n
32,28,2,3,1,3,c,n
29,31,8,6,1,1,n,n
30,30,6,9,1,2,d,n
29,31,14,13,1,1,n,n
30,30,6,13,1,2,d,n
29,31,6,12,1,2,d,n
28,32,2,13,1,3,d,n
27,33,10,10,1,1,n,n
27,33,13,10,1,1,n,n
28,32,10,7,1,1,n,n
29,31,14,6,1,4,d,n
28,32,4,12,1,2,d,n
27,33,4,10,1,2,d,n
26,34,7,8,1,2,d,n
25,35,8,3,1,1,n,n
26,34,3,4,1,3,c,n
23,37,13,13,1,1,n,n
23,37,14,9,1,4,d,n
22,38,8,5,1,1,n,n
23,37,13,6,1,1,n,n
24,36,13,10,1,1,n,n
25,35,6,8,1,2,d,n
24,36,11,3,1,1,n,n
25,35,9,14,1,1,n,n
24,36,3,3,2,3,c,n
24,36,10,13,1,1,n,n
23,37,6,14,1,2,d,n
22,38,4,10,1,2,d,n
21,39,4,6,1,2,d,n
20,40,2,2,1,3,c,n
20,40,5,6,2,2,n,n
18,42,11,8,1,1,n,n
19,41,5,2,1,2,c,n
21,39,8,12,1,1,n,n
20,40,12,2,1,1,n,n
21,39,10,3,1,1,n,n
22,38,10,11,1,1,n,n
21,39,13,11,1,1,n,n
22,38,5,4,1,2,c,n
24,36,11,2,1,1,n,n
25,35,5,3,2,2,n,n
27,33,5,4,1,2,c,n
29,31,5,8,1,2,d,n
28,32,11,3,2,1,n,d
29,31,4,10,1,2,d,n
28,32,6,4,2,2,n,n
30,30,4,12,1,4,d,n
29,31,9,8,1,1,n,n
30,30,8,12,1,1,n,n
29,31,12,10,1,4,d,n
28,32,3,14,1,4,d,n
27,33,14,13,1,1,n,n
28,32,13,5,1,1,n,n
29,31,12,4,1,1,n,n
30,30,12,2,1,4,c,n
34,26,4,3,2,2,n,n
36,24,5,5,2,2,n,n
36,24,4,10,1,4,d,n
35,25,7,6,1,2,d,n
34,26,4,14,1,2,d,n
33,27,4,8,1,2,d,n
32,28,9,8,1,1,n,n
33,27,9,7,1,1,n,n
34,26,13,8,1,1,n,n
35,25,3,6,2,3,d,n
33,27,2,10,1,3,d,n
32,28,13,3,2,1,n,d
33,27,6,4,2,2,n,n
35,25,9,5,2,1,n,d
36,24,11,11,1,1,n,n
36,24,5,11,1,2,d,n
35,25,3,4,2,3,d,n
33,27,12,6,2,1,n,d
34,26,14,6,2,1,n,d
35,25,12,3,2,1,n,d
36,24,14,3,1,1,n,n
37,23,5,11,1,2,d,n
36,24,8,3,3,1,n,d
37,23,8,9,1,1,n,n
36,24,13,14,1,4,d,n
35,25,12,13,1,4,d,n
34,26,2,10,1,3,d,n
33,27,14,12,1,4,d,n
32,28,4,10,1,2,d,n
31,29,2,5,2,3,d,n
29,31,14,2,1,4,c,n
25,35,6,2,2,2,n,n
27,33,10,5,2,1,n,d
28,32,8,5,2,1,n,d
29,31,7,3,3,2,n,d
31,29,11,7,1,1,n,n
32,28,8,7,1,1,n,n
33,27,5,12,1,2,d,n
32,28,3,10,1,3,d,n
31,29,11,2,2,1,n,d
32,28,8,8,1,1,n,n
32,28,2,8,1,3,d,n
31,29,6,13,1,2,d,n
30,30,8,14,1,1,n,n
29,31,6,9,1,2,d,n
28,32,12,6,2,1,n,d
29,31,9,3,3,1,n,d
30,30,12,5,3,4,c,n
34,26,2,3,3,3,n,n
31,29,8,3,3,1,n,d
32,28,8,10,1,1,n,n
31,29,12,2,2,1,n,d
32,28,7,9,2,2,n,n
30,30,10,9,1,1,n,n
31,29,13,6,2,1,n,d
32,28,5,11,1,2,d,n
31,29,2,5,1,3,d,n
30,30,4,11,1,2,d,n
29,31,4,3,2,4,c,n
33,27,7,2,2,2,n,n
35,25,10,4,3,1,n,d
36,24,3,14,1,3,d,n
35,25,12,10,1,1,n,n
36,24,14,10,1,1,n,n
37,23,5,2,2,2,n,n
39,21,5,13,1,2,d,n
38,22,11,10,1,1,n,n
39,21,5,4,3,2,n,c
42,18,12,7,1,1,n,n
43,17,6,14,1,2,d,n
42,18,7,6,1,2,d,n
41,19,13,2,2,1,n,d
42,18,12,9,2,1,n,d
43,17,13,2,1,1,n,n
44,16,12,14,1,1,n,n
43,17,10,13,2,1,n,d
44,16,3,10,1,3,d,n
43,17,7,10,2,2,n,n
41,19,12,11,2,1,n,d
42,18,11,14,1,1,n,n
41,19,14,2,2,1,n,d
42,18,3,13,2,3,d,n
40,20,7,8,2,2,n,n
38,22,13,8,2,1,n,d
39,21,7,4,2,2,n,n
41,19,5,5,1,2,c,n
41,19,4,2,2,2,n,n
43,17,8,3,1,1,n,n
44,16,13,2,2,1,n,d
45,15,13,12,1,4,c,n
49,11,2,14,1,3,d,n
48,12,2,4,1,3,d,n
47,13,2,4,2,3,d,n
45,15,9,10,2,1,n,d
46,14,3,14,2,3,c,n
43,17,8,13,2,1,n,d
44,16,13,7,2,4,c,n
48,12,6,2,2,2,n,n
50,10,11,3,2,1,n,d
51,9,10,7,1,1,n,n
52,8,6,8,2,2,n,n
50,10,12,2,2,1,n,d
51,9,6,14,2,2,n,n
49,11,11,10,2,1,n,d
50,10,6,11,2,2,n,n
48,12,6,2,2,2,n,n
50,10,2,14,2,3,c,n
53,7,9,9,2,1,n,d
54,6,6,4,2,2,n,n
56,4,10,13,2,1,n,d
57,3,4,10,2,1,n,c
55,5,10,5,1,1,n,n
56,4,5,3,2,1,n,c
58,2,9,12,1,1,n,n
57,3,12,9,2,1,n,d
58,2,14,11,2,1,n,d
59,1,6,4,1,1,n,n
