30,30,14,14,1,1,n,n
30,30,2,11,1,3,d,n
29,31,13,13,1,1,n,n
29,31,13,6,1,1,n,n
30,30,12,14,1,4,d,n
29,31,6,11,1,2,d,n
28,32,3,12,1,3,d,n
27,33,9,11,1,1,n,n
26,34,14,14,1,4,d,n
25,35,7,9,1,2,d,n
24,36,11,6,1,1,n,n
25,35,4,14,1,2,d,n
24,36,2,5,1,4,d,n
23,37,7,2,5,2,n,c
28,32,8,7,1,1,n,n
29,31,4,13,1,2,d,n
28,32,13,4,5,1,n,d
29,31,9,9,1,1,n,n
29,31,9,4,5,1,n,d
30,30,5,6,1,2,d,n
29,31,13,7,1,4,d,n
28,32,13,10,5,1,n,d
29,31,11,4,5,1,n,d
30,30,8,9,1,1,n,n
29,31,4,11,1,2,d,n
28,32,9,14,1,1,n,n
27,33,10,9,1,1,n,n
28,32,2,6,1,4,d,n
27,33,10,14,1,1,n,n
26,34,5,10,5,2,n,c
21,39,12,10,5,1,n,d
22,38,6,14,1,2,d,n
21,39,6,3,5,2,n,c
26,34,6,10,5,2,n,d
28,32,10,10,5,1,n,d
29,31,11,3,5,1,n,d
30,30,6,4,5,2,n,c
35,25,2,8,1,3,d,n
34,26,9,12,1,1,n,n
33,27,4,6,1,2,d,n
32,28,12,14,1,1,n,n
31,29,9,9,1,1,n,n
31,29,9,4,5,1,n,d
32,28,8,14,1,1,n,n
31,29,5,13,1,2,d,n
30,30,5,4,5,2,n,c
35,25,13,3,5,1,n,d
36,24,9,7,1,1,n,n
37,23,7,3,5,2,n,d
39,21,13,11,1,1,n,n
40,20,6,14,1,2,d,n
39,21,10,6,1,1,n,n
40,20,11,4,5,1,n,d
41,19,8,9,1,1,n,n
40,20,8,7,1,1,n,n
41,19,8,2,5,1,n,d
42,18,11,5,1,1,n,n
43,17,11,13,1,1,n,n
42,18,14,11,1,1,n,n
43,17,12,8,1,4,d,n
42,18,12,6,1,4,d,n
41,19,3,11,1,3,d,n
40,20,7,10,5,2,n,d
42,18,11,14,1,1,n,n
41,19,8,14,1,1,n,n
40,20,8,7,1,1,n,n
41,19,10,6,1,1,n,n
42,18,7,11,1,2,d,n
41,19,2,13,1,3,d,n
40,20,3,2,5,3,n,c
45,15,13,14,1,4,d,n
44,16,8,11,1,1,n,n
43,17,14,7,1,1,n,n
44,16,7,9,1,2,d,n
43,17,2,7,1,3,d,n
42,18,11,6,1,1,n,n
43,17,8,12,1,1,n,n
42,18,14,12,1,1,n,n
43,17,12,2,5,1,n,d
44,16,11,12,1,1,n,n
43,17,13,7,1,1,n,n
44,16,10,8,1,1,n,n
45,15,9,11,1,1,n,n
44,16,2,13,1,3,d,n
43,17,11,4,5,1,n,d
44,16,7,9,1,2,d,n
43,17,11,4,5,1,n,d
44,16,11,3,5,1,n,d
45,15,8,10,5,1,n,d
46,14,3,9,1,3,d,n
45,15,2,7,1,3,d,n
44,16,10,6,1,1,n,n
45,15,2,13,1,4,d,n
44,16,11,7,1,1,n,n
45,15,9,5,1,1,n,n
46,14,7,14,1,2,d,n
45,15,7,6,1,2,d,n
44,16,9,13,1,1,n,n
43,17,8,5,1,1,n,n
44,16,7,9,1,2,d,n
43,17,14,8,1,4,d,n
42,18,3,7,1,3,d,n
41,19,9,6,1,1,n,n
42,18,7,14,1,2,d,n
41,19,5,13,1,2,d,n
40,20,10,13,1,1,n,n
39,21,7,2,5,2,n,d
41,19,12,11,1,4,d,n
40,20,10,10,5,1,n,d
41,19,7,11,1,2,d,n
40,20,2,9,1,3,d,n
39,21,5,3,5,2,n,c
44,16,14,11,1,1,n,n
45,15,6,11,1,2,d,n
44,16,5,7,1,2,d,n
43,17,10,8,1,1,n,n
44,16,8,8,1,1,n,n
44,16,13,3,5,4,n,d
48,12,10,9,1,1,n,n
49,11,13,14,1,1,n,n
48,12,2,2,5,3,n,c
48,12,12,10,5,1,n,d
49,11,9,2,5,1,n,d
50,10,10,3,5,1,n,d
51,9,10,3,5,1,n,d
52,8,12,10,5,2,n,d
54,6,4,9,1,2,d,n
53,7,3,7,1,2,d,n
52,8,6,2,5,2,n,d
54,6,2,6,1,2,d,n
53,7,8,10,5,1,n,d
54,6,7,10,5,2,n,d
56,4,14,10,4,1,n,d
57,3,2,10,3,1,n,c
54,6,13,2,5,1,n,d
55,5,5,12,1,2,d,n
54,6,6,5,1,2,d,n
53,7,3,5,1,2,d,n
52,8,12,4,5,1,n,d
53,7,11,2,5,1,n,d
54,6,7,8,1,2,d,n
53,7,7,7,1,2,d,n
52,8,3,6,1,2,d,n
51,9,8,2,5,1,n,d
52,8,5,14,1,2,d,n
51,9,14,14,1,2,d,n
50,10,3,14,1,3,d,n
49,11,3,9,1,3,d,n
48,12,9,5,1,1,n,n
49,11,6,4,5,2,n,d
51,9,5,11,1,2,d,n
50,10,8,8,1,1,n,n
50,10,13,5,1,1,n,n
51,9,3,3,5,2,n,c
51,9,7,8,1,2,d,n
50,10,9,6,1,1,n,n
51,9,3,10,5,2,n,c
46,14,13,14,1,3,d,n
45,15,5,4,5,2,n,c
50,10,5,14,1,2,d,n
49,11,2,5,1,3,d,n
48,12,9,12,1,1,n,n
47,13,14,8,1,1,n,n
48,12,12,10,5,1,n,d
49,11,3,8,1,3,d,n
48,12,12,14,1,1,n,n
47,13,4,5,1,2,d,n
46,14,11,2,5,1,n,d
47,13,9,11,1,1,n,n
46,14,2,12,1,3,d,n
45,15,14,7,1,4,d,n
44,16,10,7,1,1,n,n
45,15,6,3,5,2,n,d
47,13,14,10,5,1,n,d
48,12,13,12,1,1,n,n
49,11,13,8,1,1,n,n
50,10,8,14,1,1,n,n
49,11,6,8,1,2,d,n
48,12,12,14,1,3,d,n
47,13,6,7,1,2,d,n
46,14,8,4,5,1,n,d
47,13,3,11,1,3,d,n
46,14,11,2,5,1,n,d
47,13,6,14,1,2,d,n
46,14,14,2,5,3,n,d
49,11,5,12,1,2,d,n
48,12,3,13,1,3,d,n
47,13,4,4,5,2,n,c
47,13,5,3,5,2,n,c
52,8,10,11,1,1,n,n
51,9,9,7,1,1,n,n
52,8,6,8,1,2,d,n
51,9,12,11,1,1,n,n
52,8,11,8,1,1,n,n
53,7,13,6,1,1,n,n
54,6,5,9,1,2,d,n
53,7,6,5,1,2,d,n
52,8,14,8,1,1,n,n
53,7,14,8,1,1,n,n
54,6,3,13,1,2,d,n
53,7,6,9,1,2,d,n
52,8,5,2,5,2,n,c
57,3,3,5,1,1,n,n
56,4,12,5,1,1,n,n
57,3,11,11,1,1,n,n
57,3,5,11,1,1,n,n
56,4,14,2,4,1,n,d
57,3,4,3,3,1,n,c
