30,30,13,14,1,1,n,n
29,31,8,14,1,1,n,n
28,32,3,5,1,3,d,n
27,33,9,10,5,1,n,d
28,32,4,8,1,2,d,n
27,33,7,13,1,2,d,n
26,34,13,7,1,1,n,n
27,33,12,2,5,4,n,d
31,29,3,13,1,3,d,n
30,30,4,13,1,2,d,n
29,31,5,4,5,2,n,c
34,26,12,12,1,1,n,n
34,26,6,7,1,2,d,n
33,27,8,11,1,1,n,n
32,28,12,5,1,4,d,n
31,29,11,5,1,1,n,n
32,28,9,8,1,1,n,n
33,27,10,11,1,1,n,n
32,28,4,7,1,4,d,n
31,29,13,6,1,1,n,n
32,28,9,4,5,1,n,d
33,27,8,9,1,1,n,n
32,28,13,3,5,1,n,d
33,27,8,12,1,1,n,n
32,28,2,13,1,3,d,n
31,29,13,10,5,4,n,d
35,25,13,12,1,1,n,n
36,24,12,14,1,1,n,n
35,25,2,5,1,3,d,n
34,26,8,3,5,1,n,d
35,25,11,14,1,1,n,n
34,26,2,12,1,4,d,n
33,27,6,7,1,2,d,n
32,28,6,11,1,2,d,n
31,29,6,6,1,2,d,n
30,30,9,5,1,1,n,n
31,29,5,8,1,2,d,n
30,30,4,13,1,4,d,n
29,31,6,11,1,2,d,n
28,32,8,4,5,1,n,d
29,31,2,7,1,3,d,n
28,32,7,7,1,2,d,n
27,33,5,2,5,2,n,c
32,28,11,10,5,1,n,d
33,27,8,5,1,1,n,n
34,26,4,2,5,2,n,c
39,21,5,9,1,2,d,n
38,22,12,8,1,1,n,n
39,21,9,9,1,1,n,n
39,21,10,7,1,1,n,n
40,20,8,10,5,1,n,d
41,19,14,12,1,1,n,n
42,18,14,5,1,4,d,n
41,19,7,9,1,2,d,n
40,20,9,11,1,1,n,n
39,21,10,13,1,1,n,n
38,22,4,9,1,2,d,n
37,23,5,9,1,2,d,n
36,24,3,12,1,3,d,n
35,25,9,8,1,1,n,n
36,24,12,6,1,1,n,n
37,23,5,8,1,2,d,n
36,24,2,13,1,3,d,n
35,25,14,14,1,1,n,n
35,25,3,13,1,3,d,n
34,26,3,5,1,3,d,n
33,27,8,10,5,1,n,d
34,26,4,13,1,2,d,n
33,27,9,8,1,1,n,n
34,26,2,9,1,3,d,n
33,27,11,4,5,1,n,d
34,26,8,13,1,1,n,n
33,27,14,6,1,1,n,n
34,26,13,10,5,1,n,d
35,25,10,12,1,1,n,n
34,26,6,2,5,2,n,d
36,24,11,5,1,1,n,n
37,23,13,14,1,1,n,n
36,24,7,14,1,2,d,n
35,25,5,8,1,2,d,n
34,26,12,10,5,1,n,d
35,25,2,6,1,3,d,n
34,26,9,2,5,1,n,d
35,25,12,4,5,4,n,d
39,21,2,11,1,3,d,n
38,22,8,10,5,1,n,d
39,21,12,9,1,1,n,n
40,20,6,8,1,2,d,n
39,21,5,12,1,2,d,n
38,22,7,11,1,2,d,n
37,23,6,8,1,2,d,n
36,24,12,10,5,1,n,d
37,23,9,6,1,1,n,n
38,22,10,8,1,1,n,n
39,21,11,8,1,1,n,n
40,20,8,7,1,1,n,n
41,19,12,11,1,1,n,n
42,18,5,14,1,2,d,n
41,19,5,14,1,2,d,n
40,20,4,11,1,2,d,n
39,21,11,2,5,1,n,d
40,20,9,9,1,1,n,n
40,20,10,8,1,1,n,n
41,19,6,8,1,2,d,n
40,20,3,9,1,3,d,n
39,21,8,9,1,1,n,n
38,22,14,7,1,1,n,n
39,21,14,2,5,1,n,d
40,20,11,6,1,1,n,n
41,19,6,3,5,2,n,d
43,17,11,6,1,1,n,n
44,16,12,3,5,4,n,d
48,12,10,6,1,1,n,n
49,11,9,5,1,1,n,n
50,10,12,4,5,1,n,d
51,9,4,9,1,2,d,n
50,10,13,10,5,1,n,d
51,9,8,12,1,1,n,n
50,10,9,12,1,1,n,n
49,11,11,4,5,1,n,d
50,10,8,9,1,1,n,n
49,11,3,7,1,3,d,n
48,12,12,6,1,1,n,n
49,11,2,2,5,3,n,c
49,11,3,11,1,3,d,n
48,12,5,6,1,2,d,n
47,13,13,3,5,1,n,d
48,12,8,14,1,1,n,n
47,13,12,13,1,1,n,n
46,14,5,5,1,2,d,n
45,15,3,4,5,3,n,c
40,20,5,14,1,2,d,n
39,21,11,6,1,1,n,n
40,20,10,14,1,1,n,n
39,21,4,4,5,4,n,c
39,21,10,11,1,1,n,n
38,22,10,8,1,1,n,n
39,21,10,6,1,1,n,n
40,20,6,6,1,2,d,n
39,21,4,11,1,2,d,n
38,22,9,8,1,1,n,n
39,21,3,12,1,3,d,n
38,22,9,6,1,1,n,n
39,21,13,8,1,1,n,n
40,20,4,7,1,4,d,n
39,21,3,6,1,3,d,n
38,22,12,5,1,1,n,n
39,21,10,9,1,1,n,n
40,20,5,2,5,2,n,c
45,15,10,12,1,1,n,n
44,16,13,9,1,1,n,n
45,15,14,9,1,4,d,n
44,16,2,6,1,3,d,n
43,17,8,3,5,1,n,d
44,16,10,9,1,1,n,n
45,15,10,5,1,1,n,n
46,14,7,9,1,2,d,n
