30,30,4,3,1,2,c,n
32,28,14,10,1,1,n,n
33,27,8,10,1,1,n,n
32,28,7,13,1,2,d,n
31,29,13,13,1,1,n,n
31,29,2,8,2,3,c,n
28,32,11,14,1,1,n,n
27,33,12,4,1,1,n,n
28,32,9,12,1,1,n,n
27,33,5,14,1,2,d,n
26,34,8,8,1,1,n,n
26,34,9,11,1,1,n,n
25,35,8,13,1,1,n,n
24,36,5,6,1,2,d,n
23,37,7,7,1,2,d,n
22,38,7,14,1,2,d,n
21,39,4,14,1,4,c,n
17,43,8,5,5,1,n,d
18,42,10,10,1,1,n,n
18,42,7,7,2,2,n,n
18,42,5,12,1,2,d,n
17,43,5,6,5,2,n,c
12,48,4,13,1,2,d,n
11,49,14,10,1,4,d,n
10,50,3,2,5,3,n,c
15,45,4,2,5,2,n,c
20,40,12,12,1,4,c,n
20,40,2,11,1,3,d,n
19,41,6,14,1,2,d,n
18,42,6,8,1,2,d,n
17,43,3,11,1,3,d,n
16,44,6,4,5,2,n,d
18,42,2,8,1,3,d,n
17,43,13,5,5,1,n,d
18,42,2,10,1,3,d,n
17,43,14,9,1,1,n,n
18,42,7,2,5,2,n,d
20,40,12,2,5,1,n,d
21,39,3,4,5,3,n,c
16,44,6,9,1,2,d,n
15,45,2,4,5,3,n,c
10,50,14,9,1,1,n,n
11,49,5,8,1,2,c,n
9,51,7,14,1,2,c,n
7,53,4,4,5,2,n,c
7,53,14,5,5,1,n,d
8,52,3,6,5,3,n,c
3,57,6,5,3,2,n,c
6,54,7,11,1,2,c,n
4,56,7,3,4,2,n,c
8,52,2,6,5,3,n,c
3,57,6,7,2,2,n,n
1,59,9,6,1,1,n,n
2,58,8,5,2,1,n,d
3,57,8,14,1,1,n,n
2,58,12,12,1,1,n,n
2,58,4,8,1,2,d,n
1,59,13,4,1,1,n,n
2,58,2,12,1,2,d,n
1,59,14,6,1,1,n,n
2,58,6,9,1,2,d,n
1,59,6,13,1,1,n,n
