30,30,3,2,3,5,c,n
35,25,2,4,2,5,d,n
33,27,12,3,3,1,n,d
34,26,8,7,2,1,n,d
35,25,10,4,2,1,n,d
36,24,11,3,3,1,n,d
37,23,6,14,1,1,n,n
36,24,14,8,1,1,n,n
37,23,5,6,2,5,d,n
35,25,13,13,1,1,n,n
35,25,10,11,1,1,n,n
34,26,14,11,1,5,d,n
33,27,10,3,3,1,n,d
34,26,12,5,2,1,n,d
35,25,6,5,2,1,n,d
36,24,9,14,1,1,n,n
35,25,10,5,2,1,n,d
36,24,3,7,2,5,c,n
31,29,9,12,1,1,n,n
30,30,7,14,1,1,n,n
29,31,3,12,1,5,d,n
28,32,10,10,1,1,n,n
28,32,3,13,1,5,d,n
27,33,14,13,1,1,n,n
28,32,3,5,2,5,d,n
26,34,3,12,1,5,d,n
25,35,7,6,2,1,n,d
26,34,5,11,1,5,d,n
25,35,12,7,2,1,n,d
26,34,12,9,1,1,n,n
27,33,8,8,1,1,n,n
27,33,4,2,3,5,c,n
32,28,13,6,2,5,d,n
30,30,6,12,1,1,n,n
29,31,13,11,1,5,c,n
34,26,5,11,1,5,c,n
29,31,5,14,1,5,d,n
28,32,3,10,1,5,d,n
27,33,9,8,1,1,n,n
28,32,13,10,1,1,n,n
29,31,7,7,2,1,n,d
30,30,11,4,2,1,n,d
31,29,8,13,1,1,n,n
30,30,10,7,2,1,n,d
31,29,8,6,2,1,n,d
32,28,8,5,2,1,n,d
33,27,5,9,1,5,d,n
32,28,6,4,2,1,n,c
34,26,10,13,1,1,n,n
33,27,8,2,3,1,n,d
34,26,5,6,2,5,d,n
32,28,2,3,3,5,c,n
27,33,12,4,2,1,n,d
28,32,14,10,1,1,n,n
29,31,14,3,3,1,n,d
30,30,4,2,3,5,c,n
35,25,5,14,1,5,d,n
34,26,8,6,2,1,n,d
35,25,14,14,1,5,d,n
34,26,4,2,3,5,c,n
39,21,7,10,1,1,n,n
38,22,7,11,1,1,n,n
37,23,7,11,1,1,n,n
36,24,4,10,1,5,d,n
35,25,12,4,2,1,n,d
36,24,8,2,3,1,n,d
37,23,2,8,1,5,d,n
36,24,10,2,3,1,n,d
37,23,4,14,1,5,d,n
36,24,2,14,1,5,d,n
35,25,14,11,1,1,n,n
36,24,10,14,1,1,n,n
35,25,12,3,3,1,n,d
36,24,8,6,2,1,n,d
37,23,12,11,1,1,n,n
38,22,9,7,2,1,n,d
39,21,11,3,3,1,n,d
40,20,5,5,2,5,d,n
38,22,8,5,2,1,n,d
39,21,3,6,2,5,d,n
37,23,3,4,2,5,d,n
35,25,4,12,1,5,d,n
34,26,5,10,1,5,d,n
33,27,11,11,1,1,n,n
33,27,7,6,2,1,n,d
34,26,14,7,2,1,n,d
35,25,6,10,1,1,n,n
34,26,3,4,2,5,c,n
29,31,5,8,1,5,d,n
28,32,14,2,3,1,n,d
29,31,5,5,2,5,c,n
29,31,4,4,2,5,c,n
29,31,4,3,3,5,c,n
34,26,10,3,3,1,n,d
35,25,2,9,1,5,d,n
34,26,13,6,2,1,n,d
35,25,14,6,2,1,n,d
36,24,11,12,1,1,n,n
35,25,4,5,2,5,d,n
33,27,12,5,2,1,n,d
34,26,5,3,3,5,c,n
39,21,5,4,2,5,c,n
44,16,12,8,1,1,n,n
45,15,12,13,1,1,n,n
44,16,6,10,1,1,n,n
43,17,11,5,2,1,n,d
44,16,5,4,2,5,c,n
49,11,5,3,3,5,c,n
54,6,3,8,1,5,d,n
53,7,2,2,3,5,c,n
53,7,10,11,1,1,n,n
52,8,14,12,1,1,n,n
53,7,9,9,1,1,n,n
53,7,2,14,1,5,d,n
52,8,9,14,1,1,n,n
51,9,9,2,3,1,n,d
52,8,11,10,1,1,n,n
53,7,6,13,1,1,n,n
52,8,12,5,2,5,d,n
50,10,3,5,2,5,c,n
45,15,2,11,1,5,d,n
44,16,9,8,1,1,n,n
45,15,3,3,3,5,d,n
42,18,4,8,1,5,d,n
41,19,7,9,1,1,n,n
40,20,6,14,1,1,n,n
39,21,12,5,2,1,n,d
40,20,11,9,1,1,n,n
41,19,2,14,1,5,d,n
40,20,3,5,2,5,d,n
38,22,7,5,2,1,n,d
39,21,6,7,2,1,n,d
40,20,8,5,2,1,n,d
41,19,5,4,2,5,d,n
39,21,7,9,1,1,n,n
38,22,6,14,1,1,n,n
37,23,12,6,2,1,n,d
38,22,7,6,2,1,n,d
39,21,2,13,1,5,d,n
38,22,11,8,1,1,n,n
39,21,2,11,1,5,d,n
38,22,8,9,1,1,n,n
37,23,11,14,1,1,n,n
36,24,2,8,1,5,d,n
35,25,8,3,3,1,n,d
36,24,8,3,3,1,n,d
37,23,2,3,3,5,d,n
34,26,3,12,1,5,d,n
33,27,2,5,2,5,d,n
31,29,5,4,2,5,d,n
29,31,13,8,1,1,n,n
30,30,3,6,2,5,d,n
28,32,3,8,1,5,d,n
27,33,14,9,1,1,n,n
28,32,12,3,3,1,n,d
29,31,14,14,1,5,d,n
28,32,3,9,1,5,c,n
23,37,4,10,1,5,d,n
22,38,6,5,2,1,n,d
23,37,12,5,2,1,n,d
24,36,5,7,2,5,d,n
22,38,2,12,1,5,d,n
21,39,7,6,2,1,n,d
22,38,9,14,1,1,n,n
21,39,13,5,2,5,d,n
19,41,12,12,1,1,n,n
19,41,3,7,2,5,c,n
14,46,9,11,1,1,n,n
13,47,12,7,2,5,d,n
11,49,2,9,1,5,c,n
6,54,10,11,1,1,n,n
5,55,13,13,1,1,n,n
5,55,3,5,2,5,d,n
3,57,3,11,1,3,d,n
2,58,10,14,1,1,n,n
1,59,8,5,1,1,n,n
2,58,11,11,1,1,n,n
2,58,6,5,1,1,n,n
3,57,8,7,1,1,n,n
4,56,5,8,1,4,c,n
